,word1,word2,Similarity Score,Ground Truth similarity score,Label
0,मोहब्बत,मोहब्बत,0.3129996,6.8,0
1,बाघ,बाघ,0.53360254,7.0,0
2,किताब,किताब,0.5469306,7.6,0
3,कंप्यूटर,कंप्यूटर,0.7682935,7.6,0
4,कंप्यूटर,कंप्यूटर,0.81086314,8.0,0
5,विमान,विमान,0.63731384,6.0,0
6,रेलगाड़ी,रेलगाड़ी,0.74887156,6.2,0
7,टेलीफोन,टेलीफोन,0.3745674,7.6,0
8,टेलीविजन,टेलीविजन,0.801967,6.4,0
9,मीडिया,मीडिया,0.4965293,5.8,0
10,ब्रेड,ब्रेड,0.8236989,6.6,0
11,खीरा,खीरा,0.83038634,5.8,0
12,चिकित्सक,चिकित्सक,0.7180418,7.6,0
13,प्रोफ़ेसर,प्रोफ़ेसर,0.4706635,4.6,0
14,छात्र,छात्र,0.44588384,7.0,0
15,होशियार,होशियार,0.22217478,5.2,0
16,होशियार,होशियार,0.60455126,6.2,0
17,किताब,किताब,0.28826952,7.6,0
18,बैंक,बैंक,0.43558094,8.0,0
19,लकड़ी,लकड़ी,0.55272144,7.0,0
20,प्रोफ़ेसर,प्रोफ़ेसर,-0.0051562306,0.0,1
21,राजा,राजा,0.66190594,8.2,0
22,बिशप,बिशप,-0.118930645,7.0,0
23,यरूशलेम,यरूशलेम,0.55090773,7.8,0
24,पवित्र,पवित्र,0.097574,1.0,0
25,माराडोना,माराडोना,0.72763985,7.8,0
26,फ़ुटबॉल,फ़ुटबॉल,0.876857,9.0,0
27,फ़ुटबॉल,फ़ुटबॉल,0.7947431,6.4,0
28,फ़ुटबॉल,फ़ुटबॉल,0.8422406,5.8,0
29,टेनिस,टेनिस,0.22198628,7.4,0
30,कानून,कानून,0.3841879,7.8,0
31,चलचित्र,चलचित्र,0.2439468,6.6,0
32,चलचित्र,चलचित्र,0.3586594,6.6,0
33,चलचित्र,चलचित्र,0.5928102,8.4,0
34,पीना,पीना,0.014033536,1.4,0
35,पीना,पीना,0.13512139,0.4,1
36,पीना,पीना,0.2265224,7.0,0
37,बच्चा,बच्चा,0.5297821,7.2,0
38,पीना,पीना,0.16959015,1.8,0
39,मणि,मणि,0.36144587,6.8,0
40,भट्ठी,भट्ठी,0.78953344,8.4,0
41,भोजन,भोजन,0.64052314,6.6,0
42,पक्षी,पक्षी,0.871589,7.4,0
43,भाई,भाई,0.34423447,1.4,0
44,यात्रा,यात्रा,0.37126175,6.2,0
45,साधु,साधु,0.20122457,0.2,1
46,कांच,कांच,0.22748996,2.0,0
47,पैसे,पैसे,0.2742843,8.6,0
48,पैसे,पैसे,0.66815543,9.2,0
49,पैसे,पैसे,0.4640903,8.4,0
50,पैसे,पैसे,0.43558094,8.2,0
51,पैसे,पैसे,0.41520748,6.6,0
52,पैसे,पैसे,0.15446109,2.6,0
53,बाघ,बाघ,0.21827163,8.0,0
54,बाघ,बाघ,0.7367997,7.6,0
55,बाघ,बाघ,0.6227161,6.8,0
56,मनोविज्ञान,मनोविज्ञान,0.16610095,6.2,0
57,मनोविज्ञान,मनोविज्ञान,-0.040998172,5.2,0
58,मनोविज्ञान,मनोविज्ञान,0.37255427,7.0,0
59,मनोविज्ञान,मनोविज्ञान,0.30946496,6.4,0
60,मनोविज्ञान,मनोविज्ञान,0.45283476,7.0,0
61,मनोविज्ञान,मनोविज्ञान,0.2513045,7.4,0
62,मनोविज्ञान,मनोविज्ञान,0.43044162,6.2,0
63,मनोविज्ञान,मनोविज्ञान,0.79028547,7.0,0
64,मनोविज्ञान,मनोविज्ञान,0.58417773,4.2,0
